table_name,rows_loaded,status,timestamp
analysis,10,SUCCESS,2026-07-13 23:13:49.023991
balancesheet,10,SUCCESS,2026-07-13 23:13:49.024408
cashflow,10,SUCCESS,2026-07-13 23:13:49.024704
companies,20,SUCCESS,2026-07-13 23:13:49.024964
documents,10,SUCCESS,2026-07-13 23:13:49.025284
financial_ratios,10,SUCCESS,2026-07-13 23:13:49.025650
load_audit,11,SUCCESS,2026-07-13 23:13:49.025913
peer_groups,10,SUCCESS,2026-07-13 23:13:49.026175
profitandloss,10,SUCCESS,2026-07-13 23:13:49.026423
prosandcons,10,SUCCESS,2026-07-13 23:13:49.026658
sectors,6,SUCCESS,2026-07-13 23:13:49.028700
stock_prices,10,SUCCESS,2026-07-13 23:13:49.029701
